chr11	44260440	44310139	ALX4
chr3	121567949	121590622	ARGFX
chr10	61901684	62096944	ARID5B
chr12	56595596	56636816	BAZ2A
chr7	98211439	98215457	BHLHA15
chr8	47736913	47738164	CEBPD
chr19	33373685	33382686	CEBPG
chr16	75714131	75726490	CPHXL
chr16	75660227	75677009	CPHXL2
chr2	207529737	207605988	CREB1
chr19	47819779	47843330	CRX
chr17	49990005	49995224	DLX3
chr19	53632056	53637009	DPRX
chr4	190173774	190185942	DUX4
chr19	57154021	57167485	DUXA
chr16	75693893	75701461	DUXB
chr20	33675477	33686385	E2F1
chr6	20401879	20493714	E2F3
chr10	62811996	62919900	EGR2
chr8	22687659	22693480	EGR3
chr11	34621093	34663288	EHF
chr13	40931924	41061440	ELF1
chr4	139028112	139177218	ELF2
chr1	202007945	202017183	ELF3
chrX	130063955	130110716	ELF4
chr11	34478791	34525193	ELF5
chrX	47635521	47650604	ELK1
chr12	96194375	96269824	ELK3
chr1	205597556	205632011	ELK4
chr19	42247569	42255128	ERF
chr21	38380027	38661780	ERG
chr6	151656691	152129619	ESR1
chr11	128458761	128587558	ETS1
chr21	38805183	38824955	ETS2
chr7	13891229	13991425	ETV1
chr19	35641745	35644871	ETV2
chr1	157121191	157138474	ETV3
chr1	157092043	157112412	ETV3L
chr17	43527844	43579620	ETV4
chr3	186046314	186110318	ETV5
chr12	11649674	11895377	ETV6
chr6	36354091	36387800	ETV7
chr2	218981087	218985184	FEV
chr2	70777310	70790643	FIGLA
chr11	128686535	128813267	FLI1
chr14	75278826	75282230	FOS
chr14	37589552	37596059	FOXA1
chr19	45863989	45873797	FOXA3
chr5	170105897	170109734	FOXI1
chr12	8032716	8055517	FOXJ2
chr1	42176539	42335877	FOXJ3
chr16	86576368	86583478	FOXL1
chr13	40555667	40666641	FOXO1
chr6	1312098	1314758	FOXQ1
chr21	25734570	25772460	GABPA
chr15	50275389	50355408	GABPB1
chrX	48786562	48794311	GATA1
chr3	128479427	128493201	GATA2
chr10	8045378	8075198	GATA3
chr8	11676959	11760002	GATA4
chr6	53126961	53148841	GCM1
chr6	10873223	10882041	GCM2
chr2	120735623	120992653	GLI2
chr7	42000547	42276808	GLI3-CL
chr7	42000547	42276808	GLI3-FL
chr1	45627304	45688113	GPBP1L1
chr17	8120592	8124106	HES7
chr12	120978543	121002512	HNF1A
chr17	37686431	37745059	HNF1B
chr20	44355700	44434596	HNF4A
chr7	27092993	27096000	HOXA1
chr7	27170592	27180261	HOXA10
chr7	27181157	27185232	HOXA11
chr7	27193503	27200091	HOXA13
chr7	27100354	27102686	HOXA2
chr7	27106184	27152583	HOXA3
chr7	27128507	27130780	HOXA4
chr7	27141052	27143681	HOXA5
chr7	27162438	27175180	HOXA9
chr17	48724763	48728750	HOXB13
chr17	48540894	48545109	HOXB2
chr2	176099795	176102489	HOXD12
chr8	144291591	144314720	HSF1
chr16	67164681	67169945	HSF4
chr5	132440440	132508719	IRF1
chr19	49659569	49665875	IRF3
chr6	391752	411443	IRF4
chr7	128937457	128950038	IRF5
chr16	85899162	85922606	IRF8
chr14	24161265	24166565	IRF9
chr22	35066136	35087387	ISX
chr7	27830573	28180795	JAZF1
chr8	102648784	102655725	KLF10
chr13	73686089	74133929	KLF12
chr3	126342635	126357408	KLF15
chr19	1852399	1863579	KLF16
chr4	38664197	38701517	KLF3
chr9	107484852	107490482	KLF4
chr13	73054976	73077541	KLF5
chr10	3775996	3785281	KLF6
chrX	56232356	56291531	KLF8
chr9	70384604	70414657	KLF9
chr19	39776595	39786291	LEUTX
chr17	36936785	36944612	LHX1
chr9	124001670	124033301	LHX2
chr9	136196250	136205128	LHX3
chr1	180230264	180278984	LHX4
chr9	122202577	122229626	LHX6
chr1	75128434	75161533	LHX8
chr14	65006174	65102695	MAX
chr15	99565417	99716466	MEF2A
chr6	135181308	135219173	MYB
chr8	127735434	127742951	MYC
chr11	17719571	17722136	MYOD1
chr1	58643440	58700077	MYSM1
chr16	68084751	68229259	NFATC3
chr14	24365673	24379604	NFATC4
chr1	60865259	61462788	NFIA
chr9	14081843	14398983	NFIB
chr19	3314403	3469217	NFIC
chr19	12995475	13098796	NFIX
chr4	102501331	102617302	NFKB1
chr6	41072974	41102403	NFYA
chr1	40691648	40771603	NFYC
chr5	173232109	173235311	NKX2-5
chr19	17231883	17245919	NR2F6
chr14	56799905	56816693	OTX2
chr10	100735396	100829944	PAX2
chr11	31784779	31817961	PAX6
chr1	18630846	18748866	PAX7
chr2	113215997	113278921	PAX8
chr14	36657568	36679362	PAX9
chr19	19561707	19618693	PBX4
chr13	27920000	27926313	PDX1
chr5	135027734	135034813	PITX1
chr1	167220876	167427345	POU2F1
chr6	31164337	31180731	POU5F1
chr3	12287368	12434356	PPARG
chr6	105993463	106109939	PRDM1
chr19	13961530	14007039	RFX1
chr19	5993164	6199572	RFX2
chr9	3218297	3526004	RFX3
chr12	106583004	106762803	RFX4
chr1	151340640	151347326	RFX5
chr6	116877212	116932161	RFX6
chr2	101397359	101475112	RFX8
chr6	7107597	7251980	RREB1
chr9	134317098	134440585	RXRA
chr3	18345377	18445588	SATB1
chr2	199269500	199471266	SATB2
chr14	60709539	60724351	SIX4
chr19	45764785	45769252	SIX5
chr3	170357678	170396835	SKIL
chr4	145481194	145559176	SMAD1
