chr11	44260440	44310139	62
chr3	121567949	121590622	25978
chr10	61901684	62096944	9938
chr12	56595596	56636816	6001
chr7	98211439	98215457	7479
chr8	47736913	47738164	581
chr19	33373685	33382686	30433
chr16	75714131	75726490	56049
chr16	75660227	75677009	15706
chr2	207529737	207605988	6615
chr19	47819779	47843330	80422
chr17	49990005	49995224	4292
chr19	53632056	53637009	65118
chr4	190173774	190185942	10441
chr19	57154021	57167485	30555
chr16	75693893	75701461	21837
chr20	33675477	33686385	106612
chr6	20401879	20493714	6563
chr10	62811996	62919900	91662
chr8	22687659	22693480	498
chr11	34621093	34663288	18351
chr13	40931924	41061440	18619
chr4	139028112	139177218	26329
chr1	202007945	202017183	39152
chrX	130063955	130110716	45719
chr11	34478791	34525193	18450
chrX	47635521	47650604	62088
chr12	96194375	96269824	56828
chr1	205597556	205632011	110723
chr19	42247569	42255128	21101
chr21	38380027	38661780	59945
chr6	151656691	152129619	18179
chr11	128458761	128587558	6000
chr21	38805183	38824955	36372
chr7	13891229	13991425	86426
chr19	35641745	35644871	55530
chr1	157121191	157138474	47465
chr1	157092043	157112412	478
chr17	43527844	43579620	51715
chr3	186046314	186110318	42618
chr12	11649674	11895377	59
chr6	36354091	36387800	94468
chr2	218981087	218985184	40524
chr2	70777310	70790643	15986
chr11	128686535	128813267	38020
chr14	75278826	75282230	25826
chr14	37589552	37596059	5721
chr19	45863989	45873797	12473
chr5	170105897	170109734	52207
chr12	8032716	8055517	49739
chr1	42176539	42335877	3146
chr16	86576368	86583478	62405
chr13	40555667	40666641	2470
chr6	1312098	1314758	50276
chr21	25734570	25772460	8143
chr15	50275389	50355408	51
chrX	48786562	48794311	4223
chr3	128479427	128493201	15927
chr10	8045378	8075198	55944
chr8	11676959	11760002	21362
chr6	53126961	53148841	67052
chr6	10873223	10882041	77
chr2	120735623	120992653	53102
chr7	42000547	42276808	48642
chr7	42000547	42276808	18686
chr1	45627304	45688113	62
chr17	8120592	8124106	244
chr12	120978543	121002512	8194
chr17	37686431	37745059	22005
chr20	44355700	44434596	33533
chr7	27092993	27096000	4907
chr7	27170592	27180261	24063
chr7	27181157	27185232	27451
chr7	27193503	27200091	6029
chr7	27100354	27102686	16616
chr7	27106184	27152583	14634
chr7	27128507	27130780	4443
chr7	27141052	27143681	5970
chr7	27162438	27175180	15194
chr17	48724763	48728750	22847
chr17	48540894	48545109	29788
chr2	176099795	176102489	26495
chr8	144291591	144314720	50
chr16	67164681	67169945	723
chr5	132440440	132508719	53610
chr19	49659569	49665875	54458
chr6	391752	411443	40085
chr7	128937457	128950038	63398
chr16	85899162	85922606	43977
chr14	24161265	24166565	59194
chr22	35066136	35087387	24172
chr7	27830573	28180795	8222
chr8	102648784	102655725	64772
chr13	73686089	74133929	62101
chr3	126342635	126357408	71854
chr19	1852399	1863579	62272
chr4	38664197	38701517	64006
chr9	107484852	107490482	75463
chr13	73054976	73077541	67226
chr10	3775996	3785281	29256
chrX	56232356	56291531	9776
chr9	70384604	70414657	51339
chr19	39776595	39786291	5832
chr17	36936785	36944612	10137
chr9	124001670	124033301	4436
chr9	136196250	136205128	61739
chr1	180230264	180278984	33098
chr9	122202577	122229626	23293
chr1	75128434	75161533	414
chr14	65006174	65102695	99768
chr15	99565417	99716466	99581
chr6	135181308	135219173	11930
chr8	127735434	127742951	10866
chr11	17719571	17722136	98377
chr1	58643440	58700077	79
chr16	68084751	68229259	21761
chr14	24365673	24379604	26573
chr1	60865259	61462788	34378
chr9	14081843	14398983	24961
chr19	3314403	3469217	36667
chr19	12995475	13098796	47209
chr4	102501331	102617302	97504
chr6	41072974	41102403	86
chr1	40691648	40771603	10707
chr5	173232109	173235311	33943
chr19	17231883	17245919	211
chr14	56799905	56816693	6428
chr10	100735396	100829944	89931
chr11	31784779	31817961	29275
chr1	18630846	18748866	76274
chr2	113215997	113278921	11465
chr14	36657568	36679362	122429
chr19	19561707	19618693	1446
chr13	27920000	27926313	87739
chr5	135027734	135034813	2324
chr1	167220876	167427345	3213
chr6	31164337	31180731	6491
chr3	12287368	12434356	2018
chr6	105993463	106109939	27674
chr19	13961530	14007039	1634
chr19	5993164	6199572	1845
chr9	3218297	3526004	33661
chr12	106583004	106762803	21382
chr1	151340640	151347326	10936
chr6	116877212	116932161	20301
chr2	101397359	101475112	776
chr6	7107597	7251980	89996
chr9	134317098	134440585	4397
chr3	18345377	18445588	40448
chr2	199269500	199471266	36760
chr14	60709539	60724351	359
chr19	45764785	45769252	76
chr3	170357678	170396835	25001
chr4	145481194	145559176	24598
chr5	136132845	136188747	28513
chr22	37970686	37987422	46247
chr17	7588178	7590094	63778
chr8	54457935	54460892	56240
chr3	181711925	181714436	13639
chr6	21593751	21598619	35882
chr12	23529504	24562544	74172
chr11	15966449	16739591	61708
chr17	72121020	72126416	49607
chr12	53380176	53416446	49154
chr12	53326575	53345315	32716
chr6	34537802	34556333	22115
chr11	47354860	47378547	46653
chr19	50418938	50431314	54736
chr12	101475336	101486997	37661
chr5	80319625	80321842	45485
chr2	190908460	191020960	8187
chr17	42313324	42388540	44453
chr2	191029576	191151596	22299
chr17	42287547	42311943	19715
chr17	42199177	42276707	67593
chr6	166157656	166168700	92351
chr2	161416297	161425870	43334
chr17	47733236	47746122	4313
chr19	1609290	1652615	8313
chr11	12674421	12944737	129073
chr19	49340595	49362457	92033
chr6	35473597	35497079	31826
chr12	2959330	3040676	43882
chr6	10393186	10419659	53334
chr20	56629306	56639283	6424
chr16	4257186	4273075	1589
chr10	101131300	101137789	99860
chr2	74513463	74517148	115594
chr5	171309248	171312139	51496
chr19	47801243	47819051	33065
chr19	47860113	47861512	32360
chr1	161039251	161045977	13019
chr20	25070885	25082141	23715
chr22	28794555	28800597	10877
chr14	100238298	100282788	10074
chr14	64503712	64533690	101
chrX	120250752	120258398	43
chr3	141324213	141449792	65
chr1	155002630	155018522	3724
chr6	33453970	33457544	104
chr20	63707465	63736142	544
chr8	122781655	122974510	2473
chrX	137566127	137577691	131094
chr16	3222325	3236221	62739
chr16	3263800	3301401	89201
chr19	52527652	52564464	56082
